timeStamp,elapsed,label,responseCode,responseMessage,threadName,dataType,success,failureMessage,bytes,sentBytes,grpThreads,allThreads,URL,Latency,IdleTime,Connect
1726106558361,264,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1136,217,2,2,https://reqres.in/api/users/1,264,0,176
1726106558626,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-1,text,false,,1113,0,2,2,https://reqres.in/api/users/<EOF>,0,0,0
1726106558629,90,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1136,217,2,2,https://reqres.in/api/users/1,90,0,0
1726106558767,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-3,text,false,,1113,0,3,3,https://reqres.in/api/users/<EOF>,0,0,0
1726106558720,90,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1135,217,3,3,https://reqres.in/api/users/2,90,0,0
1726106558566,259,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1135,217,3,3,https://reqres.in/api/users/2,259,0,171
1726106558826,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-2,text,false,,1113,0,3,3,https://reqres.in/api/users/<EOF>,0,0,0
1726106558811,84,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1135,217,3,3,https://reqres.in/api/users/2,84,0,0
1726106558829,83,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1136,217,3,3,https://reqres.in/api/users/1,83,0,0
1726106558914,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-2,text,false,,1113,0,3,3,https://reqres.in/api/users/<EOF>,0,0,0
1726106558898,86,ConsultarUsuario,200,OK,Grupo de Hilos 1-1,text,true,,1135,217,4,4,https://reqres.in/api/users/2,86,0,0
1726106558984,0,ConsultarUsuario,Non HTTP response code: java.net.URISyntaxException,Non HTTP response message: Illegal character in path at index 28: https://reqres.in/api/users/<EOF>,Grupo de Hilos 1-1,text,false,,1113,0,4,4,https://reqres.in/api/users/<EOF>,0,0,0
1726106558918,82,ConsultarUsuario,200,OK,Grupo de Hilos 1-2,text,true,,1136,217,4,4,https://reqres.in/api/users/1,82,0,0
1726106558770,251,ConsultarUsuario,200,OK,Grupo de Hilos 1-3,text,true,,1136,217,4,4,https://reqres.in/api/users/1,250,0,167
